"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
350,"OGN",3.72%,1.14%,-16.96%,-6.55%,-32.34%,-14.25%,2.78%,2.86%,2.50,2179.05,0.62,23.95,1.31%,1341167
351,"OKE",5.05%,-2.09%,1.33%,16.22%,-5.94%,-0.02%,2.06%,2.94%,2.50,2586.93,0.79,65.69,-0.45%,2031353
352,"OMC",0.33%,3.32%,9.32%,40.33%,14.42%,14.07%,1.34%,1.96%,2.60,1941.87,0.67,93.05,-0.64%,1294264
353,"ON",-7.93%,-9.34%,26.11%,8.40%,35.26%,20.80%,3.08%,4.16%,2.10,7100.69,0.50,75.34,-1.57%,3526595
354,"ORCL",5.98%,8.40%,13.77%,43.94%,15.65%,17.35%,2.02%,2.21%,2.60,7196.63,1.27,95.92,1.09%,9141193
355,"ORLY",2.33%,3.68%,3.22%,17.63%,24.71%,2.03%,1.38%,1.67%,2.20,460.70,0.54,861.13,0.32%,247166
356,"OTIS",-5.58%,-8.03%,-2.05%,16.40%,4.44%,0.23%,2.28%,2.06%,2.70,1821.80,1.00,78.49,-1.13%,1826232
357,"OXY",1.16%,1.43%,1.32%,-6.94%,13.14%,0.08%,2.30%,3.11%,2.60,14034.56,0.75,63.04,-2.37%,10470623
358,"PARA",-0.23%,-0.96%,16.08%,10.68%,-41.21%,28.32%,3.34%,3.93%,3.10,11326.18,0.75,21.66,3.14%,8475633
359,"PAYC",-2.31%,0.21%,-1.75%,-17.69%,-18.27%,-6.72%,3.47%,3.23%,2.00,517.83,1.00,289.45,1.35%,515608
360,"PAYX",-3.96%,-3.24%,-4.65%,-4.84%,-21.69%,-5.64%,2.06%,2.55%,3.00,1915.33,1.09,109.04,0.19%,2090085
361,"PCAR",-5.15%,-9.83%,5.07%,16.17%,27.49%,3.80%,2.77%,2.38%,2.70,3292.53,0.76,68.49,0.01%,2487622
362,"PCG",5.16%,2.39%,6.70%,13.29%,38.67%,2.77%,1.88%,2.41%,2.10,14620.16,0.88,16.71,1.27%,12841250
363,"PEAK",-1.15%,-8.80%,-17.41%,-7.63%,-37.02%,-14.48%,2.36%,2.81%,2.20,4579.28,1.18,21.44,-0.19%,5381346
364,"PEG",2.33%,7.25%,3.58%,8.28%,-10.27%,3.33%,1.87%,2.38%,2.30,2518.80,1.54,63.31,0.22%,3869136
365,"PEP",1.95%,6.50%,4.10%,11.06%,8.77%,2.05%,1.03%,1.27%,2.50,4733.32,0.72,184.36,0.39%,3389699
366,"PFE",2.77%,3.44%,-16.43%,-5.94%,-19.01%,-19.01%,1.91%,1.84%,2.50,23280.65,1.11,41.50,-0.12%,25921729
367,"PFG",-0.97%,-11.79%,-13.00%,-6.51%,-1.29%,-12.51%,2.48%,3.26%,3.50,1945.62,0.70,73.42,0.48%,1363678
368,"PG",3.23%,10.64%,1.25%,17.82%,-1.55%,0.44%,1.14%,1.40%,2.30,6876.59,0.79,152.22,0.63%,5399293
369,"PGR",2.43%,2.46%,11.98%,20.39%,28.94%,13.55%,1.81%,2.43%,2.70,2467.54,0.77,147.29,0.59%,1902930
370,"PH",-7.16%,-13.84%,4.82%,18.72%,13.86%,7.38%,3.24%,3.11%,2.20,991.05,0.70,312.47,-0.04%,693664
371,"PHM",1.87%,5.64%,21.33%,41.56%,38.04%,27.04%,2.05%,2.59%,2.10,2668.87,0.81,57.84,-1.35%,2150735
372,"PKG",2.59%,2.23%,8.68%,20.24%,-8.39%,10.35%,1.56%,2.15%,3.00,760.52,0.92,141.15,0.54%,703391
