"No.","Ticker","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Price","Change","Volume"
176,"EXPE",14030.10,43.01,7.99,1.38,1.20,6.24,3.39,5.05,221.10%,23.64%,-1.30%,31.06%,3.00%,91.70,0.23%,1594436
177,"EXR",13610.87,25.40,25.66,4.23,7.07,6.69,146.51,33.20,3.50%,6.51%,11.60%,6.00%,11.70%,162.79,1.73%,2199524
178,"F",49719.49,,7.51,,0.31,1.14,1.13,,-111.10%,6.76%,-17.90%,-11.66%,0.20%,12.33,-0.80%,36311958
179,"FANG",26249.12,5.68,6.33,,2.72,1.66,167.19,5.62,100.00%,6.08%,34.30%,-0.66%,51.60%,140.55,-1.70%,1682361
180,"FAST",29410.01,27.27,24.24,4.31,4.21,9.29,127.81,526.12,17.80%,7.33%,14.50%,6.33%,9.70%,51.48,-0.06%,3076479
181,"FCX",57685.61,16.93,17.31,,2.53,3.71,7.08,13.61,-17.80%,17.58%,20.60%,-11.10%,6.80%,40.29,-0.07%,8094296
182,"FDS",15405.93,35.21,24.66,2.82,7.67,9.64,32.28,36.98,-1.10%,10.24%,9.50%,12.50%,8.60%,404.78,0.68%,205111
183,"FDX",57792.90,20.02,12.58,4.19,0.62,2.36,10.76,56.88,-22.10%,23.46%,5.30%,4.78%,9.20%,232.10,0.94%,3674541
184,"FE",23835.72,58.82,15.58,106.94,1.91,2.34,148.97,,-68.70%,5.68%,-19.00%,0.55%,2.70%,41.70,0.22%,3634967
185,"FFIV",8107.19,29.53,11.09,3.14,2.99,3.41,12.29,17.11,-1.20%,15.07%,-4.10%,9.40%,5.20%,146.71,-0.33%,438735
186,"FIS",31798.53,,8.59,,2.19,1.21,,12.55,-12.00%,10.27%,5.75%,2.14%,10.90%,55.43,3.18%,5721699
187,"FISV",70563.45,28.93,13.50,2.12,3.98,2.32,78.23,22.48,96.60%,14.05%,12.00%,13.63%,25.50%,113.01,0.60%,2456059
188,"FITB",17487.16,7.79,6.94,1.61,2.65,1.18,1.43,3.39,-10.40%,3.53%,6.30%,4.84%,8.00%,26.08,1.20%,8323633
189,"FLT",15247.87,16.72,10.53,1.22,4.45,6.00,10.62,25.27,24.30%,15.92%,13.70%,13.68%,8.80%,207.68,0.10%,267029
190,"FMC",15252.21,17.79,13.19,1.85,2.63,4.34,26.66,88.37,5.60%,12.90%,30.80%,9.60%,15.00%,116.92,-4.07%,1595865
191,"FOX",17316.21,11.30,13.08,1.23,1.21,1.42,,,,14.60%,,9.20%,,30.74,-0.90%,755582
192,"FOXA",17469.60,12.31,10.35,1.18,1.22,1.56,4.30,10.73,-41.50%,-5.99%,-0.90%,10.40%,7.10%,33.45,-0.86%,2604121
193,"FRC",2458.48,1.70,3.80,,0.43,0.19,0.41,,7.50%,87.56%,12.60%,,18.50%,14.03,4.39%,23019504
194,"FRT",7957.01,21.14,36.38,2.97,7.41,2.83,92.96,114.00,43.30%,4.35%,10.10%,7.12%,4.60%,97.74,0.12%,292373
195,"FSLR",21536.95,,15.93,,8.22,3.74,8.35,,-109.50%,78.12%,-16.80%,5.64%,-2.30%,204.51,1.44%,1483562
196,"FTNT",51082.01,61.29,39.12,3.22,11.56,,23.10,35.24,46.60%,18.54%,58.60%,19.05%,24.20%,65.52,0.57%,2772170
197,"FTV",22855.52,30.71,17.58,4.04,3.92,2.35,32.23,20.63,27.20%,9.02%,-1.90%,7.60%,0.20%,64.36,-0.54%,1617312
198,"GD",62904.89,18.68,15.43,2.01,1.60,3.36,50.65,29.73,5.50%,15.90%,4.10%,9.30%,4.90%,227.71,-0.55%,1511404
199,"GE",102758.76,172.38,23.74,7.01,1.34,2.81,4.13,26.31,116.30%,99.59%,16.50%,24.60%,-5.10%,93.60,-0.69%,6403418
200,"GEHC",36822.30,19.17,18.51,,2.01,3.87,25.48,20.42,-14.70%,15.50%,,,,80.16,-1.18%,1356673
201,"GEN",10999.44,19.10,8.46,1.43,3.54,8.55,13.55,24.72,21.90%,14.72%,41.70%,13.40%,-7.00%,17.27,0.35%,2346163
202,"GILD",104463.45,22.92,11.55,9.08,3.83,4.93,16.36,22.54,-26.20%,5.66%,-13.90%,2.52%,0.90%,83.37,-0.33%,3724871
203,"GIS",51135.44,18.76,19.36,2.66,2.56,5.03,82.65,40.33,16.90%,5.77%,9.80%,7.04%,4.00%,86.90,-0.18%,3556201
204,"GL",10448.62,14.41,9.59,0.97,2.00,2.13,112.84,7.95,3.50%,8.54%,8.90%,14.89%,4.60%,107.74,-0.47%,667556
205,"GLW",29026.26,22.19,13.67,2.24,2.05,2.39,17.37,367.42,20.10%,21.36%,10.00%,9.90%,7.00%,34.10,-0.47%,3104699
206,"GM",48937.93,5.64,5.45,0.36,0.31,0.72,1.56,7.64,-8.50%,2.09%,3.30%,15.70%,1.50%,34.59,-1.42%,10063192
207,"GNRC",6161.65,18.43,12.31,,1.35,2.74,46.43,,-34.80%,30.33%,21.30%,-1.44%,22.10%,99.80,0.23%,1412858
208,"GOOG",1391399.60,22.97,17.97,1.41,4.92,5.46,,,10.10%,20.70%,23.35%,16.34%,,108.90,3.76%,34652327
209,"GOOGL",1340811.69,24.16,17.83,1.48,4.74,5.46,11.79,22.34,-18.80%,20.18%,23.30%,16.34%,20.60%,108.42,3.78%,48644205
210,"GPC",22832.80,19.53,16.87,4.24,1.03,6.04,34.94,36.16,33.30%,7.78%,12.90%,4.60%,6.30%,162.28,0.07%,859798
211,"GPN",27415.33,241.61,8.92,15.98,3.05,1.25,13.72,20.24,-87.70%,14.76%,-27.30%,15.12%,17.70%,105.10,1.13%,1567060
212,"GRMN",18791.28,19.44,16.89,3.47,3.87,3.03,12.94,,-10.00%,10.80%,6.10%,5.60%,9.30%,98.05,-0.15%,562273
213,"GS",107323.73,10.72,8.14,4.15,1.56,1.06,0.44,60.46,-49.40%,19.20%,8.70%,2.59%,9.60%,322.40,0.27%,1310654
214,"GWW",32480.83,21.19,17.64,1.47,2.13,13.31,99.94,45.94,51.50%,9.24%,24.70%,14.44%,7.90%,641.66,-0.71%,318621
215,"HAL",29888.76,18.92,9.02,0.47,1.47,3.72,12.74,37.55,6.00%,19.70%,35.80%,40.45%,-0.30%,32.71,-1.06%,5831279
216,"HAS",7199.06,35.62,10.45,131.92,1.23,2.53,14.44,,-56.70%,13.11%,-23.60%,0.27%,2.40%,51.93,-0.02%,932123
217,"HBAN",16004.05,7.72,7.71,,2.68,1.04,1.68,5.49,61.90%,-0.48%,10.80%,-2.15%,11.70%,11.19,1.36%,14405821
218,"HCA",75221.31,14.06,13.98,1.94,1.25,,82.84,21.65,-9.50%,12.29%,23.10%,7.25%,6.70%,270.59,-0.27%,912080
219,"HD",292327.28,17.29,17.16,7.78,1.86,187.41,106.03,78.86,7.40%,6.28%,17.70%,2.22%,9.30%,288.61,-0.02%,3192832
220,"HES",43541.78,20.81,14.91,2.38,3.85,5.49,17.51,13.43,274.60%,53.19%,20.30%,8.76%,15.70%,140.88,-0.94%,1463271
221,"HIG",21678.96,12.81,7.21,1.01,0.97,1.67,94.67,6.52,-17.80%,14.49%,26.30%,12.72%,5.40%,69.86,0.88%,1246141
222,"HII",8290.55,14.27,12.33,1.29,0.78,2.37,17.75,28.59,7.00%,17.85%,6.70%,11.06%,7.50%,206.13,-0.74%,381125
223,"HLT",37167.10,30.99,21.26,0.69,4.24,,30.74,23.83,210.50%,16.01%,25.10%,45.03%,1.50%,140.63,0.82%,1294259
224,"HOLX",20239.38,21.13,20.44,2.11,4.53,4.02,8.29,11.49,-28.80%,7.96%,14.20%,10.00%,9.70%,82.86,0.94%,1214707
225,"HON",126566.39,26.19,18.96,3.25,3.57,7.65,12.52,70.75,-8.10%,10.90%,4.20%,8.05%,-2.60%,190.46,0.54%,2781294
226,"HPE",20617.37,24.67,7.38,4.33,0.70,1.03,8.15,,-74.50%,3.87%,20.30%,5.70%,-0.30%,15.86,-0.31%,6339030
227,"HPQ",28972.20,11.67,8.17,7.26,0.48,,,27.46,-42.80%,7.40%,15.50%,1.61%,3.90%,29.29,-0.41%,3965612
228,"HRL",22128.98,22.67,21.61,6.87,1.79,2.89,35.83,181.83,9.60%,8.05%,3.00%,3.30%,6.30%,40.31,-0.44%,2743219
229,"HSIC",11025.07,21.76,14.59,2.56,0.87,3.30,94.23,21.79,-12.30%,8.77%,7.20%,8.50%,7.30%,84.73,0.89%,890739
230,"HST",11472.76,18.21,18.65,0.64,2.34,1.71,13.23,10.53,-6.80%,5.12%,2.70%,28.40%,-1.80%,16.08,0.00%,4420975
231,"HSY",52932.92,32.65,25.79,3.39,5.08,16.17,114.10,51.23,44.60%,7.11%,17.80%,9.64%,6.80%,259.87,0.17%,986235
232,"HUM",64569.87,23.60,16.28,1.65,0.70,4.27,12.76,21.00,-2.60%,13.76%,4.50%,14.27%,11.60%,519.97,0.72%,1057772
233,"HWM",17340.89,37.50,20.62,2.22,3.06,4.84,21.92,34.96,88.50%,23.85%,28.10%,16.90%,-15.30%,41.55,-1.33%,2736364
234,"IBM",119864.25,68.72,12.89,10.63,1.98,5.39,13.72,38.15,-60.30%,6.70%,-29.90%,6.47%,-5.20%,130.50,-1.24%,3049898
235,"ICE",59453.07,42.10,18.01,7.19,6.17,2.66,33.05,24.01,-64.10%,9.39%,-2.80%,5.86%,10.50%,108.25,1.91%,3103542
236,"IDXX",39554.65,58.86,43.24,3.27,11.75,64.38,351.60,100.34,-6.70%,14.16%,19.60%,18.00%,11.30%,472.52,-0.87%,529736
237,"IEX",16450.68,28.07,23.64,2.34,5.17,5.38,38.24,52.73,31.30%,5.33%,12.10%,12.00%,6.80%,216.77,-0.49%,263088
238,"IFF",23038.08,,16.05,,1.85,1.32,47.70,,-764.20%,15.86%,-27.30%,4.01%,29.60%,91.45,1.25%,1470930
239,"ILMN",36485.61,,73.79,,7.96,5.47,17.91,344.20,-655.90%,123.60%,-46.50%,,10.70%,229.99,-0.40%,1035443
240,"INCY",16450.61,49.61,15.17,2.92,4.85,3.85,5.08,18.44,-64.40%,30.47%,24.50%,17.00%,17.20%,75.51,2.34%,1632621
241,"INTC",136935.82,16.82,17.26,,2.17,1.33,4.83,14.84,-60.00%,243.14%,-8.90%,,0.10%,32.81,-0.06%,28518482
242,"INTU",123203.01,65.59,28.77,4.41,9.00,7.92,59.49,37.86,-3.70%,12.57%,14.00%,14.88%,19.60%,446.76,1.73%,1673564
243,"INVH",19082.31,50.30,42.10,3.86,8.53,1.87,72.58,69.01,38.90%,11.98%,34.40%,13.04%,16.20%,31.49,0.90%,1928502
244,"IP",12392.04,7.55,12.25,0.39,0.59,1.49,15.41,21.74,129.50%,4.55%,17.40%,19.20%,-0.50%,35.78,0.87%,2690949
245,"IPG",14260.39,15.57,12.12,2.10,1.30,3.94,5.60,,-0.70%,6.27%,11.20%,7.40%,3.80%,36.99,-0.11%,4352998
246,"IQV",36686.79,34.24,16.26,2.95,2.55,6.30,28.03,23.13,15.50%,15.37%,32.60%,11.61%,8.20%,195.83,-0.64%,632520
247,"IR",22227.85,37.87,19.34,3.32,3.76,2.40,13.78,30.31,16.20%,10.65%,57.80%,11.40%,20.00%,54.46,-0.78%,1887441
248,"IRM",15039.65,27.45,27.92,1.66,2.95,23.88,106.06,,23.10%,13.72%,24.20%,16.50%,5.80%,52.29,1.38%,1154226
249,"ISRG",90362.00,70.35,41.38,4.85,14.52,8.17,21.24,94.28,-21.60%,17.02%,5.20%,14.49%,14.70%,256.90,-0.42%,1026511
250,"IT",24758.01,31.43,28.68,7.96,4.52,108.94,35.47,24.93,8.20%,15.96%,78.00%,3.95%,10.60%,313.75,0.19%,477832
251,"ITW",69928.95,23.30,22.05,5.51,4.39,22.61,98.77,177.48,14.70%,7.67%,7.60%,4.23%,2.20%,227.70,-0.75%,1061449
252,"IVZ",7203.64,10.62,8.26,,1.19,0.65,5.83,41.05,-50.30%,16.40%,-9.30%,-0.99%,3.20%,15.82,0.70%,2221548
253,"J",14243.26,22.49,13.77,2.10,0.93,2.32,,67.60,59.40%,11.32%,28.80%,10.69%,18.70%,112.97,0.51%,467640
254,"JBHT",17667.82,18.47,16.81,1.34,1.19,4.81,340.42,254.58,29.00%,9.50%,0.50%,13.83%,15.60%,170.03,-0.14%,562741
255,"JCI",38278.56,30.51,13.93,1.91,1.50,2.40,25.37,,4.40%,14.24%,25.20%,15.95%,2.10%,55.98,0.50%,7828883
256,"JKHY",10741.53,30.82,27.88,3.42,5.38,7.18,416.34,33.00,20.00%,10.72%,11.00%,9.00%,7.00%,148.61,0.98%,456162
257,"JNJ",430319.78,24.51,15.17,6.22,4.53,5.62,18.30,78.20,-13.70%,3.56%,5.30%,3.94%,4.40%,165.15,-0.28%,9613580
258,"JNPR",11025.39,23.56,13.04,1.48,2.08,2.43,10.11,,87.60%,12.25%,-1.60%,15.95%,1.10%,33.69,-1.81%,3266191
259,"JPM",375601.83,10.55,9.66,,4.05,1.43,0.26,3.95,-21.30%,3.35%,12.10%,-0.99%,7.70%,127.47,-0.11%,8751645
260,"K",23311.73,24.23,16.00,10.18,1.52,5.98,77.97,63.69,-35.60%,4.91%,-5.00%,2.38%,3.60%,67.99,-0.06%,1559590
261,"KDP",49788.37,35.36,18.55,5.38,3.54,2.01,93.06,35.46,-33.20%,7.56%,-25.00%,6.57%,16.00%,35.64,0.68%,8511625
262,"KEY",10691.37,6.20,5.99,1.03,1.98,0.98,3.54,2.94,-26.60%,10.88%,8.90%,6.00%,4.30%,11.91,3.03%,19047519
263,"KEYS",27782.68,24.47,18.27,2.91,5.00,6.30,12.47,25.65,29.20%,6.92%,61.60%,8.40%,11.20%,155.75,-0.13%,869655
264,"KHC",47877.61,20.45,13.68,9.39,1.81,0.99,46.04,,204.40%,5.18%,-9.80%,2.18%,0.30%,39.14,0.31%,4977762
265,"KIM",11852.39,119.94,26.90,,6.86,1.23,79.12,80.14,-90.00%,4.73%,-28.90%,,7.50%,19.07,-0.26%,3177280
266,"KLAC",52845.79,15.40,19.56,3.69,5.04,20.34,18.44,23.00,63.90%,-21.39%,30.10%,4.18%,21.50%,374.66,-1.82%,746536
267,"KMB",45778.75,23.87,20.29,2.48,2.27,84.25,107.21,153.11,6.80%,13.42%,-1.60%,9.61%,1.90%,136.49,0.61%,1465650
268,"KMI",39812.43,15.78,15.03,,2.07,1.29,53.44,47.28,43.70%,6.90%,32.40%,-6.40%,7.00%,17.71,0.00%,7978846
269,"KMX",9866.94,18.09,22.12,1.10,0.31,1.85,14.33,12.42,54.10%,3.19%,16.40%,16.50%,15.00%,64.33,3.03%,1664926
270,"KO",271691.88,28.65,22.47,4.97,6.32,11.28,23.36,141.65,-2.60%,7.78%,14.30%,5.77%,3.50%,62.84,0.06%,9640484
271,"KR",34481.71,15.87,10.76,1.98,0.23,3.46,33.97,46.72,40.70%,0.60%,23.40%,8.00%,3.90%,48.52,0.96%,4393579
272,"L",12979.80,13.55,,0.97,0.92,0.92,24.40,5.01,-31.40%,,7.60%,14.03%,0.50%,56.38,0.28%,591466
273,"LDOS",12539.62,18.48,12.33,2.82,0.87,2.91,24.30,19.06,-5.70%,10.79%,24.90%,6.55%,7.20%,91.41,-0.11%,824779
274,"LEN",29414.71,6.31,9.50,0.27,0.87,1.20,6.93,,10.30%,7.52%,36.00%,23.70%,21.60%,102.06,-1.89%,1684042
275,"LH",20710.46,16.77,12.22,,1.39,2.04,48.16,15.39,-42.70%,10.54%,15.40%,-6.64%,7.60%,232.18,-0.78%,423244
276,"LHX",37496.91,36.08,14.89,11.81,2.20,2.03,42.61,35.99,-39.60%,7.82%,-0.50%,3.06%,22.60%,197.01,-0.20%,942134
277,"LIN",175016.59,43.28,24.16,4.27,5.25,4.40,32.20,52.29,12.40%,10.22%,7.70%,10.14%,24.00%,356.58,0.27%,1627571
278,"LKQ",14505.71,13.30,12.43,0.40,1.13,2.67,52.18,19.50,12.30%,8.10%,22.30%,33.50%,5.60%,54.41,0.26%,989564
279,"LLY",344977.25,53.30,31.45,2.32,12.09,31.18,155.97,203.61,12.80%,37.87%,10.10%,22.93%,7.40%,368.29,1.67%,3531175
280,"LMT",124713.96,22.56,17.53,2.36,1.89,13.59,48.97,40.02,-4.80%,4.47%,10.80%,9.55%,5.70%,490.17,0.04%,1093317
281,"LNC",3563.82,,2.16,,0.19,0.97,1.07,0.96,-231.30%,12.42%,-42.20%,4.50%,5.60%,20.51,-2.61%,4249062
282,"LNT",13767.45,20.19,17.14,3.64,3.27,2.20,688.37,,3.90%,11.03%,7.50%,5.55%,4.50%,55.05,0.42%,1445151
283,"LOW",118931.52,19.85,13.48,2.57,1.23,,,27.09,-15.50%,7.61%,19.80%,7.73%,7.20%,198.57,-0.43%,2403262
284,"LRCX",66587.58,13.27,18.19,5.82,3.50,8.09,14.51,31.76,21.80%,-19.31%,28.80%,2.28%,16.50%,493.79,0.06%,960471
285,"LUMN",2423.20,,14.64,,0.14,0.23,1.94,2.58,-180.60%,-23.85%,-39.80%,,-0.20%,2.43,0.41%,13800725
286,"LUV",18767.62,39.99,8.22,0.67,0.79,1.75,1.53,4.98,-47.70%,41.90%,-24.70%,59.78%,2.40%,31.59,0.03%,2978942
287,"LVS",43219.85,,20.72,,10.52,11.22,6.85,,7.60%,98.63%,-20.00%,-1.75%,-20.20%,57.01,0.81%,2818701
288,"LW",14987.12,32.68,23.91,0.88,3.32,26.85,35.73,42.61,-36.30%,9.83%,-9.10%,37.10%,5.30%,106.86,2.58%,3981308
289,"LYB",30731.68,7.93,8.89,1.64,0.61,2.32,14.29,31.26,-29.50%,17.93%,3.00%,4.84%,7.90%,94.35,0.08%,1800215
290,"LYV",15933.77,129.21,54.30,,0.96,,2.84,10.73,120.90%,90.00%,23.40%,,11.50%,69.13,0.48%,1462180
291,"MA",346779.86,35.36,24.93,1.82,15.59,55.02,46.81,39.18,16.80%,18.88%,18.00%,19.47%,12.20%,361.47,-0.64%,2357634
292,"MAA",17395.60,27.40,30.84,3.91,8.61,2.88,449.50,50.16,19.00%,1.16%,14.00%,7.00%,5.70%,150.26,0.72%,390087
293,"MAR",50212.88,22.49,18.95,0.52,2.42,91.09,99.04,27.77,116.90%,11.27%,6.00%,43.50%,0.30%,163.05,0.30%,1092325
294,"MAS",10679.49,12.99,12.70,5.13,1.23,,23.63,29.83,124.40%,13.51%,23.30%,2.53%,7.60%,47.04,-0.72%,1716845
295,"MCD",206297.54,33.91,24.18,4.37,8.90,,79.84,156.37,-17.00%,10.51%,2.90%,7.75%,0.30%,282.89,0.31%,1729981
296,"MCHP",43560.45,21.26,12.67,1.54,5.41,6.85,150.78,17.21,251.90%,4.07%,44.30%,13.80%,14.90%,78.70,-1.03%,3417085
297,"MCK",51102.03,16.94,13.99,1.43,0.19,,18.42,12.23,125.70%,1.89%,-20.80%,11.87%,5.90%,370.09,-0.83%,667772
298,"MCO",55501.51,38.84,26.82,,10.15,21.73,29.86,82.10,-34.70%,20.26%,3.70%,-1.40%,5.40%,298.62,-1.40%,564260
299,"MDLZ",97339.93,36.25,20.67,5.62,3.09,3.62,50.62,95.71,-35.50%,8.73%,1.50%,6.46%,4.00%,71.05,-0.49%,5024091
300,"MDT",106793.38,26.40,15.30,12.32,3.47,2.08,9.59,174.21,44.20%,-0.55%,5.20%,2.14%,1.30%,80.30,0.04%,4311471
301,"MET",45424.24,23.23,6.45,3.82,0.65,1.71,2.25,3.91,-62.90%,10.36%,-8.70%,6.09%,2.30%,59.07,0.70%,4250685
302,"META",548291.10,25.86,17.70,6.52,4.70,4.54,13.46,28.79,-41.70%,24.28%,5.40%,3.97%,23.50%,216.10,2.18%,26081387
303,"MGM",16101.60,12.70,37.05,,1.23,3.41,2.72,16.75,44.60%,68.85%,30.50%,,4.00%,42.98,-0.46%,3726765
304,"MHK",5947.98,323.74,8.31,,0.51,0.73,8.91,67.21,-97.40%,25.74%,-50.70%,-6.25%,4.30%,92.59,-1.09%,559526
305,"MKC",22869.99,34.78,29.90,9.91,3.58,4.72,64.10,416.58,-9.80%,9.79%,6.30%,3.51%,6.10%,85.80,0.57%,1188065
306,"MKTX",12701.73,51.65,38.82,3.56,17.68,11.90,29.49,74.63,-1.80%,14.52%,9.60%,14.51%,12.80%,343.29,1.64%,477267
307,"MLM",20931.63,24.71,19.76,1.42,3.40,2.93,58.47,59.75,22.20%,15.55%,13.80%,17.45%,9.20%,338.59,0.45%,287087
308,"MMC",83268.90,28.09,20.34,3.09,4.02,7.94,57.75,44.84,-1.40%,9.93%,10.00%,9.08%,8.10%,169.38,0.70%,1629178
309,"MMM",56409.47,10.01,10.69,71.51,1.65,3.81,14.49,119.26,0.60%,10.11%,2.10%,0.14%,1.60%,101.56,-0.71%,2416084
310,"MNST",55166.45,37.46,29.95,1.51,8.74,3.91,20.67,78.92,-13.10%,17.39%,24.50%,24.86%,13.40%,52.56,-0.45%,5512176
311,"MO",79332.43,13.93,8.38,3.00,3.16,,19.69,54.64,138.70%,4.85%,-2.20%,4.64%,-0.40%,44.43,0.00%,6332610
312,"MOH",16543.07,21.08,12.42,1.18,0.52,5.57,2.20,24.26,20.40%,16.15%,29.60%,17.83%,10.00%,285.57,0.58%,583127
313,"MOS",15576.21,4.37,7.79,,0.81,1.23,21.18,6.25,135.50%,-19.64%,58.70%,,20.90%,43.67,-5.66%,6379342
314,"MPC",58608.59,4.53,9.36,,0.33,2.15,4.98,4.63,-19.90%,-34.44%,49.30%,,18.90%,128.68,-3.04%,3276553
315,"MPWR",22392.28,52.34,30.18,2.09,12.48,13.33,30.35,448.74,79.10%,18.93%,27.50%,25.00%,30.70%,473.61,0.06%,299027
316,"MRK",283993.83,19.66,13.18,1.88,4.79,6.19,21.53,36.91,17.40%,23.58%,25.60%,10.47%,8.10%,112.33,0.38%,6892482
317,"MRNA",59629.81,7.93,,,3.10,3.21,6.02,13.02,-29.00%,-49.80%,92.10%,,147.90%,158.27,2.37%,2612168
318,"MRO",16181.98,4.92,6.16,,2.00,1.43,48.45,4.31,338.00%,24.02%,48.30%,-9.25%,11.40%,25.52,-0.70%,7869750
319,"MS",140980.37,13.72,10.48,2.67,2.14,1.52,1.10,,-23.40%,15.24%,10.50%,5.13%,8.60%,84.19,0.44%,3876921
320,"MSCI",43102.91,49.79,35.74,3.91,19.17,,43.38,60.80,23.30%,16.04%,23.80%,12.74%,12.00%,533.65,-0.88%,328197
321,"MSFT",2116569.90,32.42,27.12,2.65,10.37,11.86,21.27,52.06,19.80%,14.88%,24.30%,12.21%,15.50%,291.60,2.55%,29708426
322,"MSI",47918.91,35.75,22.71,3.61,5.26,410.81,36.17,46.21,10.60%,11.21%,12.40%,9.89%,7.40%,283.46,-0.94%,795140
323,"MTB",19730.60,10.71,6.78,0.82,3.16,0.86,0.72,5.52,-16.40%,1.14%,4.50%,13.03%,8.40%,117.57,0.14%,1473293
324,"MTCH",10058.40,28.81,13.93,1.74,3.15,,17.31,21.10,37.10%,21.51%,-3.80%,16.55%,19.10%,35.72,-0.81%,6242807
325,"MTD",33770.70,39.02,30.63,3.17,8.62,1340.11,351.78,45.77,17.20%,11.61%,17.70%,12.30%,7.50%,1500.92,-1.89%,96402
326,"MU",62402.12,42.07,146.77,,2.71,1.35,5.77,,50.70%,109.00%,11.90%,,8.60%,58.56,2.70%,21384875
327,"NCLH",5451.35,,8.33,,1.13,81.75,5.76,,56.10%,108.50%,-29.60%,,-2.10%,13.08,1.24%,9870557
328,"NDAQ",26679.75,24.27,18.83,4.39,4.29,4.38,39.06,22.78,-3.80%,7.80%,12.40%,5.53%,9.50%,54.90,0.62%,2440149
329,"NDSN",12122.35,24.49,21.52,1.88,4.68,4.91,99.36,35.99,13.90%,8.25%,11.60%,13.00%,4.60%,210.02,-0.80%,236338
330,"NEE",155680.67,37.78,23.38,3.43,7.43,4.00,97.24,33.22,15.70%,8.83%,2.50%,11.00%,4.10%,78.97,0.82%,5149229
331,"NEM",41369.86,,21.42,,3.47,2.14,11.01,,-141.80%,9.95%,-20.00%,13.50%,10.10%,52.05,-0.04%,8404108
332,"NFLX",152464.36,37.13,23.59,2.32,4.82,7.27,25.17,94.20,-14.40%,25.06%,44.90%,15.97%,22.00%,339.33,-0.88%,4656919
333,"NI",11834.93,16.99,17.27,,2.02,1.96,290.07,13.51,33.20%,7.61%,14.10%,,3.70%,28.82,0.45%,3067967
334,"NKE",187462.65,34.69,29.67,4.05,3.70,12.27,17.65,109.37,5.50%,25.29%,8.40%,8.56%,6.30%,120.22,-0.56%,4256089
335,"NOC",71602.77,14.93,19.24,4.98,1.96,4.72,27.79,172.95,-27.70%,10.82%,11.90%,3.00%,7.10%,470.39,-0.11%,575742
336,"NOW",94398.90,296.26,41.69,12.48,13.03,19.05,22.06,43.44,41.00%,23.50%,34.10%,23.74%,30.40%,473.13,1.24%,1691109
337,"NRG",7992.23,7.16,6.10,,0.25,2.09,18.59,,-42.00%,22.53%,27.80%,-3.30%,28.30%,34.82,1.19%,2270498
338,"NSC",46217.25,14.79,13.85,1.96,3.63,3.71,101.35,41.75,14.50%,8.63%,14.20%,7.55%,3.90%,205.41,1.17%,3111547
339,"NTAP",13435.38,10.88,11.17,1.44,2.08,12.35,4.28,23.24,26.70%,4.33%,19.00%,7.53%,2.80%,63.00,0.30%,2875816
340,"NTRS",18186.41,14.13,11.62,3.80,2.43,1.74,3.91,12.02,-14.00%,7.21%,5.50%,3.72%,6.10%,86.73,-0.93%,1989629
341,"NUE",36145.29,5.01,12.33,,0.87,2.02,7.44,4.76,24.30%,-24.00%,52.00%,-7.50%,15.40%,145.53,1.44%,2291942
342,"NVDA",663961.12,155.30,44.96,7.33,24.61,30.14,49.94,194.71,-54.70%,33.59%,8.60%,21.20%,22.70%,270.37,0.58%,39696201
343,"NVR",17989.98,11.11,15.05,4.63,1.70,5.00,7.13,9.72,53.40%,-2.31%,28.30%,2.40%,10.80%,5468.08,-1.35%,18916
344,"NWL",4979.71,25.72,8.88,36.48,0.53,1.43,17.35,,-67.50%,32.08%,-21.60%,0.70%,-0.20%,12.14,0.83%,3160505
345,"NWS",9973.56,34.20,,,0.98,1.24,,,,,,,,17.44,-0.06%,827644
346,"NWSA",9994.67,33.86,24.26,,0.98,1.23,7.53,51.79,89.10%,63.68%,23.10%,-2.38%,5.00%,17.27,-0.29%,1987135
347,"NXPI",44901.30,16.11,12.29,1.63,3.40,5.93,11.68,14.60,55.50%,10.57%,19.80%,9.87%,7.40%,170.10,-1.69%,1930684
348,"O",41422.59,44.06,41.77,1.95,12.39,1.38,242.10,63.24,63.90%,6.85%,5.20%,22.62%,22.40%,62.57,-0.22%,3176977
349,"ODFL",35756.51,26.74,24.56,1.81,5.71,9.84,151.70,45.72,37.10%,11.11%,33.20%,14.76%,13.30%,325.77,0.25%,488997
350,"OGN",6013.61,6.66,5.07,,0.97,,8.52,16.17,-32.40%,8.20%,-12.80%,-2.00%,-10.10%,23.95,1.31%,1341167
351,"OKE",29511.89,17.12,13.63,1.37,1.32,4.53,134.02,913.68,14.60%,-9.85%,16.80%,12.50%,13.00%,65.69,-0.45%,2031353
352,"OMC",18862.17,14.60,12.00,5.41,1.32,5.83,4.34,70.59,-0.30%,5.51%,4.50%,2.70%,-1.30%,93.05,-0.64%,1294264
353,"ON",33062.96,17.73,14.59,1.01,3.97,5.26,11.33,20.31,86.80%,16.75%,38.20%,17.47%,8.50%,75.34,-1.57%,3526595
354,"ORCL",256184.09,31.52,17.19,3.48,5.34,,29.21,66.40,-47.00%,10.76%,1.50%,9.06%,2.30%,95.92,1.09%,9141193
355,"ORLY",52847.55,25.71,20.93,2.46,3.67,,486.63,20.44,7.60%,11.46%,22.60%,10.45%,9.90%,861.13,0.32%,247166
