"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
333,"NI",11834.93,409.50,404.59,0.35%,-0.34%,94.60%,-2.50%,1.57%,1.61,3956.03,28.82,0.45%,3067967
334,"NKE",187462.65,1559.00,939.15,0.20%,-0.81%,82.90%,-0.24%,1.13%,1.70,6217.88,120.22,-0.56%,4256089
335,"NOC",71602.77,153.70,151.16,0.10%,-9.70%,85.20%,0.75%,0.91%,1.23,1110.67,470.39,-0.11%,575742
336,"NOW",94398.90,202.64,200.49,0.10%,-31.57%,90.80%,-0.19%,1.69%,2.06,1645.73,473.13,1.24%,1691109
337,"NRG",7992.23,230.00,228.25,0.90%,2.31%,99.93%,-1.69%,5.91%,3.21,4199.54,34.82,1.19%,2270498
338,"NSC",46217.25,230.00,227.46,0.10%,-10.10%,76.80%,-1.32%,1.00%,1.35,1682.99,205.41,1.17%,3111547
339,"NTAP",13435.38,216.00,213.31,0.20%,-12.55%,91.40%,-1.87%,2.90%,3.27,1887.95,63.00,0.30%,2875816
340,"NTRS",18186.41,208.42,207.30,0.20%,-0.55%,85.10%,-0.07%,1.84%,3.15,1214.07,86.73,-0.93%,1989629
341,"NUE",36145.29,255.43,249.41,0.20%,-12.08%,83.10%,-1.68%,2.45%,3.26,1876.09,145.53,1.44%,2291942
342,"NVDA",663961.12,2463.00,2358.39,0.40%,-5.61%,65.90%,-0.85%,1.60%,0.75,50284.16,270.37,0.58%,39696201
343,"NVR",17989.98,3.21,3.00,0.30%,-60.67%,86.00%,-2.11%,2.13%,2.85,22.37,5468.08,-1.35%,18916
344,"NWL",4979.71,415.70,411.41,0.20%,-35.24%,94.80%,1.04%,5.66%,4.92,4733.13,12.14,0.83%,3160505
345,"NWS",9973.56,193.24,115.57,40.20%,-0.01%,39.77%,,2.34%,2.82,958.70,17.44,-0.06%,827644
346,"NWSA",9994.67,576.00,495.38,0.10%,-3.94%,99.10%,-0.70%,1.69%,2.84,2945.76,17.27,-0.29%,1987135
347,"NXPI",44901.30,259.66,258.38,0.10%,0.00%,94.10%,-2.32%,2.32%,2.89,2069.72,170.10,-1.69%,1930684
348,"O",41422.59,633.67,626.41,0.10%,-3.75%,83.00%,3.25%,2.64%,4.62,3583.82,62.57,-0.22%,3176977
349,"ODFL",35756.51,110.33,96.33,12.63%,-0.41%,76.40%,-1.18%,4.64%,5.67,788.19,325.77,0.25%,488997
350,"OGN",6013.61,254.37,254.22,0.08%,0.00%,78.60%,-0.05%,2.51%,2.93,2179.05,23.95,1.31%,1341167
351,"OKE",29511.89,447.78,444.24,0.46%,0.00%,69.80%,1.62%,2.08%,3.57,2586.93,65.69,-0.45%,2031353
352,"OMC",18862.17,203.80,201.15,0.70%,-2.36%,94.70%,0.33%,4.58%,4.75,1941.87,93.05,-0.64%,1294264
353,"ON",33062.96,432.30,430.73,0.10%,-2.47%,,0.85%,6.30%,3.82,7100.69,75.34,-1.57%,3526595
354,"ORCL",256184.09,2698.00,1542.95,42.60%,-0.07%,42.70%,0.29%,0.93%,2.00,7196.63,95.92,1.09%,9141193
355,"ORLY",52847.55,62.55,61.08,0.60%,-20.59%,85.60%,-2.91%,1.47%,1.95,460.70,861.13,0.32%,247166
356,"OTIS",32936.76,416.10,414.66,0.05%,-19.34%,87.70%,0.00%,1.35%,3.07,1821.80,78.49,-1.13%,1826232
