"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
481,"WDC",11195.28,318.00,316.77,0.70%,0.00%,89.60%,2.94%,2.50%,1.81,4374.15,35.15,0.26%,4662439
482,"WEC",31019.32,315.40,315.03,0.14%,-1.15%,76.50%,-0.09%,1.36%,3.09,1385.98,98.64,0.31%,1250562
483,"WELL",34619.47,483.31,472.18,0.07%,0.00%,98.82%,1.00%,2.60%,5.32,2309.33,71.55,1.40%,1858216
484,"WFC",139336.70,3799.80,3752.00,0.20%,-0.48%,74.60%,1.33%,0.80%,1.28,23468.69,37.90,2.74%,23475649
485,"WHR",7056.91,54.70,53.52,1.04%,-0.27%,96.70%,-2.94%,8.59%,6.07,757.42,127.45,-1.54%,559274
486,"WM",66229.93,409.20,405.67,0.10%,-8.37%,87.80%,5.35%,1.14%,2.44,1890.41,163.66,0.52%,3290525
487,"WMB",36483.73,1218.84,1143.64,0.35%,-0.37%,88.10%,0.88%,1.75%,2.72,7352.92,29.65,-0.97%,6627891
488,"WMT",403459.38,2697.00,1383.27,0.90%,-78.78%,32.90%,-0.56%,0.72%,1.50,6655.01,150.80,0.75%,5961995
489,"WRB",16505.07,276.62,202.26,5.70%,0.00%,71.00%,1.03%,1.77%,2.40,1492.02,63.10,0.72%,1311072
490,"WRK",7649.67,254.70,251.19,0.10%,-18.82%,90.60%,0.91%,1.49%,1.56,2391.82,30.06,0.07%,1659439
491,"WST",25754.03,74.40,73.57,0.20%,-37.46%,95.50%,-1.61%,2.13%,2.66,589.38,344.72,-0.59%,462143
492,"WTW",25159.66,109.00,105.76,0.30%,-10.66%,98.40%,-0.47%,0.80%,1.55,547.82,236.73,0.28%,396251
493,"WY",21678.86,735.65,725.47,0.10%,-0.25%,85.20%,0.18%,1.48%,2.42,4449.83,29.85,0.91%,2918726
494,"WYNN",12345.84,112.31,96.11,0.30%,-10.85%,66.40%,-0.77%,8.92%,3.40,2524.49,109.12,0.48%,1390602
495,"XEL",39105.13,550.00,546.12,0.10%,-0.34%,79.90%,0.35%,1.47%,2.64,3027.55,71.27,0.21%,2442318
496,"XOM",476264.44,4139.00,4065.69,0.10%,-0.47%,59.80%,0.67%,0.86%,2.05,17184.38,115.05,-1.66%,15775522
497,"XRAY",8448.51,215.20,213.66,0.60%,0.16%,,1.66%,5.47%,5.71,2048.14,39.54,0.79%,2465747
498,"XYL",18110.97,180.20,178.75,0.10%,-32.30%,91.70%,0.85%,6.71%,6.85,1750.67,100.26,-0.01%,1260002
499,"YUM",36957.62,283.00,277.20,0.12%,-4.47%,80.10%,-8.01%,1.37%,2.46,1538.93,132.10,0.12%,1080540
500,"ZBH",26978.45,209.90,209.70,0.10%,-13.84%,92.10%,-0.06%,1.60%,2.37,1412.46,129.17,0.45%,780982
501,"ZBRA",15427.36,51.67,51.34,0.60%,-0.51%,91.00%,0.26%,1.33%,1.91,359.51,300.26,0.04%,184331
502,"ZION",4240.10,148.73,147.18,1.00%,-2.57%,85.20%,2.29%,5.74%,2.15,3920.26,29.39,2.65%,5847876
503,"ZTS",77687.06,465.56,462.41,0.21%,-1.33%,94.50%,0.02%,0.96%,2.04,2167.18,168.94,0.77%,1594461
