"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
416,"SNPS",57624.78,,10.00%,16.90%,18.50%,1.10,1.00,0.00,0.00,78.90%,20.70%,18.20%,2/15/2023 4:30:00 PM,375.92,-0.64%,848435
417,"SO",77856.90,3.76%,2.70%,11.90%,5.20%,0.70,0.50,1.67,1.89,82.90%,18.30%,12.00%,4/27/2023 8:30:00 AM,72.31,1.13%,4504808
418,"SPG",35924.43,6.56%,6.50%,69.40%,9.20%,,,8.06,8.06,81.10%,48.80%,40.40%,2/6/2023 4:30:00 PM,109.77,-0.16%,1145077
419,"SPGI",113012.13,1.06%,5.10%,8.50%,7.90%,0.90,0.90,0.29,0.30,66.30%,44.10%,29.10%,2/9/2023 8:30:00 AM,340.86,-1.09%,1293057
420,"SRE",48184.91,3.06%,2.70%,8.10%,3.20%,0.60,0.60,0.94,1.10,,15.90%,14.50%,2/28/2023 8:30:00 AM,155.34,1.44%,1187732
421,"STE",19087.94,0.97%,-0.30%,-0.50%,3.70%,2.50,1.60,0.50,0.51,44.80%,2.80%,-0.60%,2/8/2023 4:30:00 PM,193.10,0.44%,241208
422,"STLD",17710.32,1.64%,28.10%,50.40%,35.30%,3.80,2.20,0.37,0.38,27.50%,22.90%,17.40%,4/19/2023 4:30:00 PM,103.43,0.20%,1669197
423,"STT",26039.11,3.31%,0.90%,11.20%,5.20%,,,0.65,0.65,,61.70%,65.10%,4/17/2023 8:30:00 AM,76.16,0.75%,2163764
424,"STX",13392.62,4.35%,7.20%,-849.50%,33.40%,1.10,0.70,,,24.50%,10.10%,6.60%,4/20/2023 4:30:00 PM,64.40,-0.71%,1023739
425,"STZ",40855.28,1.42%,0.40%,1.00%,9.00%,1.30,0.60,1.35,1.45,51.90%,32.70%,1.10%,4/6/2023 8:30:00 AM,224.64,1.45%,2025486
426,"SWK",11398.31,4.31%,3.90%,11.80%,2.60%,1.20,0.30,0.55,0.77,26.00%,1.90%,6.20%,5/4/2023 8:30:00 AM,74.29,-0.24%,1403996
427,"SWKS",17901.74,2.23%,13.50%,22.00%,17.30%,2.80,1.70,0.30,0.39,47.60%,27.30%,22.30%,2/6/2023 4:30:00 PM,111.35,-1.00%,1249528
428,"SYF",12455.42,3.21%,3.00%,23.90%,42.90%,,,1.17,1.17,,71.40%,17.30%,4/19/2023 8:30:00 AM,28.62,0.42%,5320326
429,"SYK",109197.57,1.04%,6.50%,14.80%,8.50%,1.60,1.00,0.71,0.79,63.10%,15.40%,12.80%,5/1/2023 4:30:00 PM,287.68,-0.12%,1113434
430,"SYY",39314.20,2.54%,6.40%,108.10%,16.20%,1.20,0.70,7.20,7.69,18.10%,3.20%,1.90%,1/31/2023 8:30:00 AM,77.27,-0.23%,2125447
431,"T",141704.60,5.65%,-1.90%,-6.90%,-3.60%,0.60,0.50,1.32,1.40,57.90%,-3.80%,-7.20%,4/20/2023 8:30:00 AM,19.65,-1.16%,29719475
432,"TAP",10673.02,3.14%,-0.70%,-1.30%,0.20%,0.80,0.50,0.49,0.52,34.20%,1.50%,-1.60%,5/2/2023 8:30:00 AM,52.15,-0.67%,1068630
433,"TDG",39453.71,,4.60%,-26.30%,12.10%,4.20,3.20,,,57.60%,41.70%,15.10%,2/7/2023 8:30:00 AM,724.32,0.24%,175877
434,"TDY",20385.67,,5.60%,10.00%,7.10%,1.80,1.30,0.44,0.48,42.70%,18.00%,14.40%,1/25/2023 8:30:00 AM,433.83,0.02%,321918
435,"TECH",11644.80,0.42%,11.20%,15.00%,13.20%,4.40,3.20,0.11,0.11,68.30%,30.70%,23.40%,2/2/2023 8:30:00 AM,75.65,2.17%,1046979
436,"TEL",39395.73,1.90%,10.60%,21.00%,16.30%,1.70,1.00,0.30,0.37,31.90%,15.90%,13.90%,4/26/2023 8:30:00 AM,123.96,-0.43%,1559008
437,"TER",15767.25,0.44%,20.60%,30.20%,28.30%,3.00,2.60,0.00,0.02,59.20%,26.40%,22.70%,1/25/2023 4:30:00 PM,100.39,-0.83%,1216779
438,"TFC",42526.97,6.35%,1.10%,10.70%,12.50%,,,0.80,0.80,,81.40%,35.60%,4/20/2023 8:30:00 AM,32.74,2.25%,10842689
439,"TFX",12313.41,0.52%,5.30%,9.30%,7.30%,2.40,1.40,0.40,0.43,54.90%,17.90%,13.00%,2/23/2023 8:30:00 AM,262.49,0.12%,312036
440,"TGT",76070.76,2.61%,5.20%,25.50%,11.70%,0.90,0.20,1.43,1.44,24.60%,3.50%,2.50%,2/28/2023 8:30:00 AM,165.58,0.21%,2552126
441,"TJX",89946.38,1.70%,12.50%,60.80%,36.00%,1.20,0.60,0.45,0.53,27.60%,9.30%,7.00%,2/22/2023 8:30:00 AM,78.05,0.01%,3085900
442,"TMO",223494.70,0.24%,7.50%,16.30%,9.80%,1.50,1.20,0.66,0.78,42.20%,18.60%,15.50%,4/26/2023 8:30:00 AM,575.35,-0.78%,780738
443,"TMUS",181834.50,,1.20%,3.70%,4.00%,0.80,0.70,1.04,1.13,59.80%,8.20%,3.30%,2/1/2023 8:30:00 AM,149.61,0.33%,4263507
444,"TPR",9558.56,2.99%,11.60%,35.60%,23.40%,1.90,1.10,0.71,0.72,69.30%,16.50%,12.70%,2/9/2023 8:30:00 AM,40.13,-0.89%,4601127
445,"TRGP",17033.84,1.87%,5.20%,40.70%,14.00%,0.80,0.60,4.01,4.33,19.30%,10.10%,4.30%,2/22/2023 8:30:00 AM,74.93,-0.46%,1027576
446,"TRMB",12140.12,,6.30%,11.40%,8.80%,1.00,0.80,0.30,0.38,57.30%,16.80%,12.20%,2/8/2023 8:30:00 AM,48.96,-0.41%,1414416
447,"TROW",24603.99,4.47%,12.70%,17.00%,21.20%,,,0.00,0.00,,36.60%,23.50%,1/26/2023 8:30:00 AM,109.22,-0.34%,978780
448,"TRV",39527.40,2.17%,2.40%,12.60%,11.10%,,,0.33,0.34,,10.10%,7.60%,4/19/2023 8:30:00 AM,171.27,0.56%,787159
449,"TSCO",25773.21,1.75%,13.60%,56.60%,34.50%,1.30,0.20,0.59,0.59,35.00%,10.10%,7.70%,4/27/2023 8:30:00 AM,235.63,0.47%,986498
450,"TSLA",587004.76,,17.30%,32.50%,26.10%,1.50,1.10,0.04,0.07,25.60%,16.80%,15.40%,4/19/2023 4:30:00 PM,185.06,-0.25%,123519227
451,"TSN",21323.09,3.22%,6.70%,12.50%,12.50%,1.80,0.70,0.40,0.43,10.50%,6.40%,4.50%,5/8/2023 8:30:00 AM,59.61,-0.58%,1897406
452,"TT",39055.00,1.76%,9.90%,29.70%,18.70%,1.10,0.80,0.62,0.79,31.00%,15.10%,11.00%,2/2/2023 8:30:00 AM,170.68,0.11%,2860059
453,"TTWO",20406.12,,-2.80%,-5.00%,11.20%,0.90,,0.29,0.32,54.30%,-6.90%,-8.30%,2/6/2023 4:30:00 PM,119.00,-1.64%,1508367
454,"TXN",160781.79,2.78%,33.70%,60.90%,38.00%,4.70,3.80,0.56,0.60,68.80%,50.60%,43.50%,4/25/2023 4:30:00 PM,178.12,0.52%,3742992
455,"TXT",13932.01,0.12%,5.40%,12.50%,6.80%,2.00,1.10,0.50,0.50,16.10%,6.90%,6.70%,4/27/2023 8:30:00 AM,67.71,-0.27%,1563176
456,"TYL",14567.11,,3.50%,6.60%,5.30%,1.00,1.00,0.36,0.38,42.40%,11.60%,8.90%,4/26/2023 4:30:00 PM,352.80,1.46%,170943
457,"UAL",13747.61,,1.10%,15.20%,5.40%,1.00,0.90,4.12,4.56,54.60%,5.20%,1.60%,4/18/2023 4:30:00 PM,42.66,1.50%,6300972
458,"UDR",13351.18,4.13%,0.80%,2.20%,2.60%,,,1.28,1.35,65.70%,16.50%,5.40%,4/26/2023 4:30:00 PM,40.68,0.30%,1732394
459,"UHS",9094.96,0.62%,5.10%,11.50%,7.40%,1.30,1.20,0.80,0.81,,7.50%,5.00%,2/27/2023 4:30:00 PM,128.08,-0.48%,392088
460,"ULTA",26808.09,,24.10%,67.20%,63.10%,1.60,0.70,0.00,0.00,39.60%,16.10%,12.20%,3/9/2023 4:30:00 PM,520.95,-2.47%,736117
461,"UNH",475031.29,1.29%,8.60%,27.00%,16.80%,,,0.70,0.74,,8.80%,6.20%,4/14/2023 8:30:00 AM,512.81,0.70%,3471270
462,"UNP",118832.41,2.62%,10.80%,57.70%,17.30%,0.70,0.60,2.60,2.74,76.40%,39.90%,28.10%,4/20/2023 8:30:00 AM,198.64,2.28%,3280010
463,"UPS",162256.12,3.44%,16.40%,67.50%,24.90%,1.20,1.20,0.88,0.99,76.40%,13.00%,11.50%,4/25/2023 8:30:00 AM,188.58,-0.43%,2206113
464,"URI",24371.52,1.67%,9.70%,33.00%,13.80%,1.10,1.00,1.59,1.61,42.90%,27.80%,18.10%,1/25/2023 4:30:00 PM,355.27,1.14%,1494332
465,"USB",53781.23,5.37%,0.90%,12.90%,13.70%,,,0.87,0.87,,71.10%,30.70%,4/19/2023 8:30:00 AM,35.75,1.82%,12002121
466,"V",469620.79,0.80%,17.60%,44.40%,28.10%,1.40,1.40,0.59,0.59,80.40%,63.40%,49.20%,4/25/2023 4:30:00 PM,225.99,-0.96%,4284649
467,"VFC",8449.48,5.62%,3.00%,12.50%,14.70%,1.20,0.60,1.39,1.94,53.10%,5.80%,3.50%,2/7/2023 4:30:00 PM,21.35,-1.79%,6010195
468,"VICI",32255.04,4.83%,3.30%,5.50%,4.40%,,,0.66,0.66,99.10%,61.90%,43.00%,5/1/2023 4:30:00 PM,32.32,0.62%,4631423
469,"VLO",49692.08,3.08%,18.70%,53.90%,34.30%,1.40,1.00,0.45,0.49,9.50%,8.80%,6.50%,4/27/2023 8:30:00 AM,132.59,-1.85%,3168613
470,"VMC",21828.48,1.04%,4.00%,8.50%,6.90%,2.00,1.40,0.56,0.58,21.30%,13.00%,7.90%,2/16/2023 8:30:00 AM,164.93,0.53%,877222
471,"VRSK",29617.93,0.71%,12.90%,43.60%,21.60%,0.40,0.40,1.34,2.14,67.00%,56.30%,38.20%,2/28/2023 4:30:00 PM,190.42,-0.54%,859022
472,"VRSN",22279.68,,37.40%,-46.10%,326.40%,0.90,0.90,,,85.90%,66.20%,47.30%,4/27/2023 4:30:00 PM,213.06,0.29%,256979
473,"VRTX",82769.55,,20.50%,26.70%,23.60%,4.80,4.70,0.03,0.03,87.90%,48.20%,37.20%,2/7/2023 4:30:00 PM,321.66,-0.09%,912001
474,"VTR",16787.69,4.22%,-0.20%,-0.40%,2.10%,,,1.18,1.18,44.70%,10.90%,-1.10%,2/9/2023 4:30:00 PM,42.63,1.57%,1774556
475,"VTRS",11728.81,4.84%,4.10%,10.30%,2.20%,1.60,1.10,0.85,0.91,43.20%,9.90%,12.80%,2/27/2023 8:30:00 AM,9.92,1.22%,9230653
476,"VZ",168457.21,6.61%,5.70%,24.40%,10.10%,0.80,0.70,1.54,1.65,56.80%,22.60%,15.50%,4/25/2023 8:30:00 AM,39.48,-1.57%,21540919
477,"WAB",17418.03,0.71%,3.40%,6.30%,5.70%,1.20,0.70,0.37,0.40,31.40%,12.10%,7.60%,4/26/2023 8:30:00 AM,96.36,-0.23%,488824
478,"WAT",17841.00,,22.80%,170.90%,35.70%,2.20,1.70,3.02,3.12,58.00%,29.40%,23.80%,2/15/2023 8:30:00 AM,300.00,-0.88%,307358
479,"WBA",31164.02,5.37%,-3.30%,-13.50%,4.60%,0.60,0.30,0.46,0.66,20.20%,-6.00%,-2.40%,3/28/2023 8:30:00 AM,35.78,-0.94%,5631761
480,"WBD",36022.54,,-6.70%,-18.70%,-5.90%,0.90,0.90,1.04,1.05,43.70%,-21.80%,-21.90%,2/23/2023 4:30:00 PM,15.11,2.16%,21818914
481,"WDC",11195.28,,-0.40%,-0.80%,9.20%,1.90,1.10,0.58,0.58,28.30%,4.60%,-0.60%,1/31/2023 4:30:00 PM,35.15,0.26%,4662439
482,"WEC",31019.32,3.16%,3.50%,12.40%,5.60%,0.70,0.50,1.30,1.52,54.60%,20.00%,14.70%,5/1/2023 8:30:00 AM,98.64,0.31%,1250562
483,"WELL",34619.47,3.41%,0.40%,0.70%,2.00%,,,0.72,0.72,39.80%,12.10%,2.40%,2/15/2023 4:30:00 PM,71.55,1.40%,1858216
484,"WFC",139336.70,3.17%,0.60%,7.60%,12.30%,,,1.09,1.09,,80.40%,22.30%,4/14/2023 8:30:00 AM,37.90,2.74%,23475649
485,"WHR",7056.91,5.49%,-8.40%,-40.20%,-13.30%,1.10,0.70,3.15,3.26,15.60%,-5.40%,-7.70%,4/24/2023 4:30:00 PM,127.45,-1.54%,559274
486,"WM",66229.93,1.71%,7.40%,31.80%,12.30%,0.80,0.80,2.13,2.19,46.90%,17.10%,11.40%,4/26/2023 4:30:00 PM,163.66,0.52%,3290525
487,"WMB",36483.73,6.04%,4.30%,18.10%,7.50%,0.80,0.70,1.92,2.00,68.50%,27.50%,18.70%,2/20/2023 4:30:00 PM,29.65,-0.97%,6627891
488,"WMT",403459.38,1.51%,4.70%,15.40%,11.80%,0.80,0.20,0.51,0.58,24.10%,3.30%,1.90%,2/21/2023 8:30:00 AM,150.80,0.75%,5961995
489,"WRB",16505.07,0.63%,4.20%,20.90%,15.30%,,,0.42,0.42,,16.10%,12.40%,4/20/2023 4:30:00 PM,63.10,0.72%,1311072
490,"WRK",7649.67,3.66%,2.80%,7.00%,5.50%,1.50,1.00,0.78,0.82,18.80%,5.70%,3.80%,5/4/2023 8:30:00 AM,30.06,0.07%,1659439
491,"WST",25754.03,0.22%,17.20%,23.70%,19.40%,3.70,2.90,0.08,0.08,39.40%,23.60%,20.30%,2/16/2023 8:30:00 AM,344.72,-0.59%,462143
492,"WTW",25159.66,1.42%,3.10%,9.70%,6.70%,1.10,1.10,0.45,0.47,,13.40%,11.30%,4/27/2023 8:30:00 AM,236.73,0.28%,396251
493,"WY",21678.86,2.55%,10.80%,17.60%,13.70%,1.60,1.30,0.38,0.47,35.50%,27.50%,18.50%,4/27/2023 4:30:00 PM,29.85,0.91%,2918726
494,"WYNN",12345.84,,-3.40%,68.90%,-1.00%,2.20,2.20,,,36.40%,-2.70%,-11.30%,2/8/2023 4:30:00 PM,109.12,0.48%,1390602
495,"XEL",39105.13,2.92%,2.90%,10.70%,6.20%,0.80,0.70,1.37,1.49,87.20%,15.90%,11.30%,4/27/2023 8:30:00 AM,71.27,0.21%,2442318
496,"XOM",476264.44,3.16%,15.30%,30.60%,18.30%,1.40,1.10,0.21,0.21,31.90%,15.90%,14.00%,4/28/2023 8:30:00 AM,115.05,-1.66%,15775522
497,"XRAY",8448.51,1.42%,-11.40%,-22.20%,-14.50%,1.60,1.10,0.48,0.51,54.20%,-24.00%,-24.20%,5/3/2023 8:30:00 AM,39.54,0.79%,2465747
498,"XYL",18110.97,1.32%,4.40%,10.80%,7.40%,1.90,1.40,0.54,0.00,37.70%,8.70%,6.40%,5/4/2023 8:30:00 AM,100.26,-0.01%,1260002
499,"YUM",36957.62,1.83%,22.80%,-15.40%,62.20%,1.00,1.00,,,48.30%,32.00%,19.40%,5/3/2023 8:30:00 AM,132.10,0.12%,1080540
500,"ZBH",26978.45,0.74%,1.10%,1.90%,3.30%,1.90,1.00,0.43,0.47,70.90%,10.00%,3.30%,5/2/2023 8:30:00 AM,129.17,0.45%,780982
501,"ZBRA",15427.36,,6.50%,17.10%,9.40%,0.80,0.40,0.66,0.74,45.40%,9.20%,8.00%,2/16/2023 8:30:00 AM,300.26,0.04%,184331
502,"ZION",4240.10,5.58%,1.00%,17.70%,42.20%,,,0.15,0.15,,88.70%,32.20%,4/19/2023 4:30:00 PM,29.39,2.65%,5847876
503,"ZTS",77687.06,0.89%,15.00%,46.20%,17.20%,2.40,1.60,1.49,1.79,69.70%,32.90%,26.20%,5/4/2023 8:30:00 AM,168.94,0.77%,1594461
