"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
303,"MGM",16101.60,0.02%,3.20%,28.20%,5.40%,1.80,1.80,1.56,1.84,49.30%,11.00%,11.00%,5/1/2023 4:30:00 PM,42.98,-0.46%,3726765
304,"MHK",5947.98,,0.20%,0.30%,0.80%,1.90,1.00,0.25,0.35,25.70%,2.10%,0.20%,4/27/2023 4:30:00 PM,92.59,-1.09%,559526
305,"MKC",22869.99,1.82%,5.10%,14.20%,7.60%,0.70,0.30,0.74,1.07,35.60%,14.20%,10.40%,3/28/2023 8:30:00 AM,85.80,0.57%,1188065
306,"MKTX",12701.73,0.84%,15.50%,24.30%,22.10%,,,0.00,0.00,92.60%,45.50%,34.80%,1/25/2023 8:30:00 AM,343.29,1.64%,477267
307,"MLM",20931.63,0.78%,5.90%,12.70%,7.80%,2.00,1.40,0.61,0.70,23.10%,19.60%,14.10%,2/15/2023 8:30:00 AM,338.59,0.45%,287087
308,"MMC",83268.90,1.39%,9.20%,29.20%,14.90%,1.20,1.20,1.07,1.09,,20.70%,14.70%,4/20/2023 8:30:00 AM,169.38,0.70%,1629178
309,"MMM",56409.47,5.91%,12.60%,40.20%,19.30%,1.50,1.00,0.95,1.08,43.80%,19.10%,16.90%,1/24/2023 8:30:00 AM,101.56,-0.71%,2416084
310,"MNST",55166.45,,14.50%,17.30%,17.10%,4.80,3.80,0.00,0.00,50.30%,25.10%,18.90%,2/28/2023 4:30:00 PM,52.56,-0.45%,5512176
311,"MO",79332.43,8.46%,15.60%,-186.00%,45.30%,0.80,0.70,,,56.50%,47.50%,22.90%,4/27/2023 8:30:00 AM,44.43,0.00%,6332610
312,"MOH",16543.07,,6.30%,27.20%,16.80%,1.50,1.50,0.81,0.81,15.00%,3.70%,2.50%,4/26/2023 4:30:00 PM,285.57,0.58%,583127
313,"MOS",15576.21,1.83%,15.20%,30.50%,22.70%,1.20,0.50,0.20,0.30,30.10%,25.00%,18.70%,2/22/2023 4:30:00 PM,43.67,-5.66%,6379342
314,"MPC",58608.59,2.33%,15.80%,55.60%,31.20%,1.80,1.30,0.92,0.96,15.20%,12.00%,8.10%,5/2/2023 8:30:00 AM,128.68,-3.04%,3276553
315,"MPWR",22392.28,0.84%,23.40%,29.40%,26.30%,5.40,3.70,0.00,0.00,58.40%,29.40%,24.40%,2/8/2023 4:30:00 PM,473.61,0.06%,299027
316,"MRK",283993.83,2.60%,13.50%,33.30%,20.90%,1.50,1.20,0.63,0.67,71.00%,30.30%,24.50%,4/27/2023 8:30:00 AM,112.33,0.38%,6892482
317,"MRNA",59629.81,,31.70%,46.30%,40.60%,2.70,2.50,0.05,0.06,71.90%,48.90%,43.40%,2/23/2023 8:30:00 AM,158.27,2.37%,2612168
318,"MRO",16181.98,1.57%,19.50%,31.80%,21.80%,0.70,0.70,0.49,0.52,91.50%,48.90%,44.70%,5/3/2023 4:30:00 PM,25.52,-0.70%,7869750
319,"MS",140980.37,3.68%,0.90%,11.30%,1.50%,,,2.56,7.36,76.10%,21.40%,16.00%,4/19/2023 8:30:00 AM,84.19,0.44%,3876921
